order_id,order_date,order_month,customer_id,product_id,product_name,category,country,channel,segment,quantity,unit_price,discount,gross_sales,is_return,net_sales
O100039,2024-01-16,2024-01,C10580,P1018,Tote Bag,Merch,Australia,Online,Consumer,1,15.02,0.0,15.02,0,15.02
O100040,2024-01-16,2024-01,C10066,P1005,Cookie Pack,Bakery,Australia,Online,Consumer,4,8.16,0.0,32.64,0,32.64
O100041,2024-01-05,2024-01,C10030,P1009,Ethiopian Beans,Coffee,Australia,Online,Consumer,3,14.84,0.0,44.52,0,44.52
O100042,2024-01-10,2024-01,C10301,P1004,Colombian Beans,Coffee,Australia,Online,Consumer,2,13.81,0.05,27.62,0,26.24
O100043,2024-01-13,2024-01,C10611,P1000,Biscotti Jar,Bakery,Australia,Online,Consumer,2,11.01,0.05,22.02,0,20.92
O100044,2024-01-18,2024-01,C10030,P1009,Ethiopian Beans,Coffee,Australia,Online,Consumer,2,16.24,0.2,32.48,0,25.98
O100045,2024-01-11,2024-01,C10374,P1004,Colombian Beans,Coffee,Australia,Online,Consumer,3,14.99,0.15,44.97,0,38.22
O100046,2024-01-08,2024-01,C10067,P1003,Cold Brew Pack,Coffee,Australia,Online,Consumer,3,11.54,0.1,34.62,0,31.16
O100047,2024-01-11,2024-01,C10214,P1014,Milk Frother,Equipment,Australia,Online,Consumer,1,21.32,0.05,21.32,0,20.25
O100048,2024-01-17,2024-01,C10597,P1017,T-Shirt,Merch,Australia,Online,Consumer,2,21.78,0.1,43.56,0,39.2
O100049,2024-01-03,2024-01,C10528,P1009,Ethiopian Beans,Coffee,Australia,Online,Small Business,4,15.25,0.1,61.0,0,54.9
O100050,2024-01-09,2024-01,C10024,P1006,Croissant Box,Bakery,Australia,Online,Consumer,4,14.27,0.0,57.08,1,-57.08
O100051,2024-01-03,2024-01,C10580,P1012,Herbal Tea,Tea,Australia,Online,Consumer,2,9.0,0.1,18.0,0,16.2
O100052,2024-01-14,2024-01,C10401,P1011,Green Tea,Tea,Australia,Store Pickup,Consumer,1,9.93,0.2,9.93,0,7.94
O100053,2024-01-12,2024-01,C10351,P1004,Colombian Beans,Coffee,Australia,Store Pickup,Consumer,2,13.66,0.0,27.32,0,27.32
O100054,2024-01-29,2024-01,C10597,P1018,Tote Bag,Merch,Australia,Store Pickup,Consumer,1,15.7,0.15,15.7,0,13.34
O100055,2024-01-04,2024-01,C10024,P1010,French Press,Equipment,Australia,Store Pickup,Consumer,1,26.27,0.15,26.27,0,22.33
O100056,2024-01-30,2024-01,C10208,P1013,Matcha Tin,Tea,Australia,Store Pickup,Consumer,4,17.5,0.0,70.0,0,70.0
O100057,2024-01-01,2024-01,C10301,P1000,Biscotti Jar,Bakery,Australia,Store Pickup,Consumer,3,9.53,0.0,28.59,0,28.59
O100058,2024-01-26,2024-01,C10458,P1015,Muffin Box,Bakery,Australia,Store Pickup,Consumer,1,10.7,0.05,10.7,0,10.16
O100059,2024-01-03,2024-01,C10004,P1010,French Press,Equipment,Australia,Store Pickup,Consumer,2,25.01,0.25,50.02,1,-37.52
O100060,2024-01-03,2024-01,C10461,P1005,Cookie Pack,Bakery,Australia,Store Pickup,Consumer,6,7.71,0.25,46.26,0,34.7
O100061,2024-01-04,2024-01,C10558,P1002,Ceramic Mug,Merch,Canada,Marketplace,Consumer,2,12.49,0.05,24.98,0,23.73
O100062,2024-01-01,2024-01,C10266,P1015,Muffin Box,Bakery,Canada,Marketplace,Consumer,3,13.55,0.1,40.65,0,36.59
O100063,2024-01-05,2024-01,C10251,P1004,Colombian Beans,Coffee,Canada,Marketplace,Consumer,4,14.64,0.2,58.56,0,46.85
O100064,2024-01-01,2024-01,C10388,P1000,Biscotti Jar,Bakery,Canada,Marketplace,Consumer,2,10.14,0.0,20.28,0,20.28
O100065,2024-01-01,2024-01,C10289,P1016,Pour Over Kit,Equipment,Canada,Marketplace,Consumer,1,32.0,0.15,32.0,0,27.2
O100066,2024-01-03,2024-01,C10266,P1006,Croissant Box,Bakery,Canada,Marketplace,Consumer,6,14.88,0.1,89.28,0,80.35
O100067,2024-01-19,2024-01,C10346,P1013,Matcha Tin,Tea,Canada,Marketplace,Consumer,2,17.41,0.05,34.82,0,33.08
O100068,2024-01-02,2024-01,C10154,P1018,Tote Bag,Merch,Canada,Marketplace,Consumer,1,16.83,0.0,16.83,0,16.83
O100069,2024-01-16,2024-01,C10289,P1012,Herbal Tea,Tea,Canada,Marketplace,Consumer,2,9.7,0.2,19.4,0,15.52
O100070,2024-01-02,2024-01,C10289,P1006,Croissant Box,Bakery,Canada,Marketplace,Consumer,2,15.17,0.2,30.34,0,24.27
O100071,2024-01-24,2024-01,C10219,P1009,Ethiopian Beans,Coffee,Canada,Marketplace,Consumer,2,18.52,0.05,37.04,0,35.19
O100072,2024-01-17,2024-01,C10558,P1015,Muffin Box,Bakery,Canada,Marketplace,Consumer,4,13.13,0.05,52.52,0,49.89
O100073,2024-01-19,2024-01,C10136,P1006,Croissant Box,Bakery,Canada,Marketplace,Consumer,2,13.95,0.1,27.9,0,25.11
O100074,2024-01-25,2024-01,C10334,P1005,Cookie Pack,Bakery,Canada,Marketplace,Consumer,6,8.94,0.0,53.64,0,53.64
O100075,2024-01-10,2024-01,C10556,P1006,Croissant Box,Bakery,Canada,Marketplace,Consumer,2,13.68,0.15,27.36,0,23.26
O100076,2024-01-13,2024-01,C10100,P1017,T-Shirt,Merch,Canada,Marketplace,Consumer,2,23.64,0.05,47.28,0,44.92
O100077,2024-01-04,2024-01,C10209,P1009,Ethiopian Beans,Coffee,Canada,Online,Consumer,4,16.22,0.0,64.88,1,-64.88
O100078,2024-01-26,2024-01,C10468,P1017,T-Shirt,Merch,Canada,Online,Consumer,1,26.1,0.05,26.1,0,24.8
O100079,2024-01-19,2024-01,C10020,P1011,Green Tea,Tea,Canada,Online,Small Business,5,10.55,0.15,52.75,0,44.84
O100080,2024-01-25,2024-01,C10130,P1012,Herbal Tea,Tea,Canada,Online,Consumer,1,10.18,0.0,10.18,0,10.18
O100081,2024-01-02,2024-01,C10550,P1014,Milk Frother,Equipment,Canada,Online,Consumer,1,23.02,0.0,23.02,0,23.02
O100082,2024-01-27,2024-01,C10346,P1001,Burr Grinder,Equipment,Canada,Online,Consumer,1,73.6,0.15,73.6,0,62.56
O100083,2024-01-04,2024-01,C10222,P1005,Cookie Pack,Bakery,Canada,Online,Consumer,4,8.02,0.0,32.08,0,32.08
O100084,2024-01-04,2024-01,C10524,P1003,Cold Brew Pack,Coffee,Canada,Online,Consumer,1,12.43,0.05,12.43,0,11.81
O100085,2024-01-30,2024-01,C10628,P1000,Biscotti Jar,Bakery,Canada,Online,Consumer,6,11.97,0.05,71.82,0,68.23
O100086,2024-01-19,2024-01,C10600,P1014,Milk Frother,Equipment,Canada,Online,Consumer,1,24.13,0.0,24.13,0,24.13
O100087,2024-01-31,2024-01,C10110,P1017,T-Shirt,Merch,Canada,Online,Consumer,1,26.14,0.0,26.14,0,26.14
O100088,2024-01-13,2024-01,C10289,P1016,Pour Over Kit,Equipment,Canada,Online,Consumer,2,30.5,0.0,61.0,0,61.0
O100089,2024-01-03,2024-01,C10424,P1004,Colombian Beans,Coffee,Canada,Online,Consumer,1,14.75,0.05,14.75,0,14.01
O100090,2024-01-03,2024-01,C10219,P1000,Biscotti Jar,Bakery,Canada,Online,Consumer,4,11.49,0.2,45.96,0,36.77
O100091,2024-01-21,2024-01,C10583,P1018,Tote Bag,Merch,Canada,Online,Consumer,2,18.18,0.0,36.36,0,36.36
O100092,2024-01-08,2024-01,C10103,P1003,Cold Brew Pack,Coffee,Canada,Online,Consumer,2,12.99,0.05,25.98,0,24.68
O100093,2024-01-01,2024-01,C10262,P1013,Matcha Tin,Tea,Canada,Online,Consumer,1,19.03,0.05,19.03,0,18.08
O100094,2024-01-10,2024-01,C10227,P1010,French Press,Equipment,Canada,Online,Consumer,1,26.54,0.0,26.54,0,26.54
O100095,2024-01-05,2024-01,C10079,P1018,Tote Bag,Merch,Canada,Online,Consumer,2,18.16,0.0,36.32,0,36.32
O100096,2024-01-13,2024-01,C10467,P1003,Cold Brew Pack,Coffee,Canada,Online,Consumer,1,13.42,0.1,13.42,0,12.08
O100097,2024-01-27,2024-01,C10074,P1017,T-Shirt,Merch,Canada,Online,Consumer,3,24.89,0.0,74.67,0,74.67
O100098,2024-01-06,2024-01,C10396,P1018,Tote Bag,Merch,Canada,Online,Consumer,2,16.8,0.0,33.6,0,33.6
O100099,2024-01-01,2024-01,C10114,P1012,Herbal Tea,Tea,Canada,Online,Consumer,2,10.3,0.0,20.6,0,20.6
O100100,2024-01-26,2024-01,C10012,P1006,Croissant Box,Bakery,Canada,Online,Consumer,4,14.92,0.0,59.68,0,59.68
O100101,2024-01-14,2024-01,C10045,P1008,Espresso Blend,Coffee,Canada,Online,Consumer,2,16.64,0.0,33.28,0,33.28
O100102,2024-01-09,2024-01,C10103,P1019,Travel Mug,Merch,Canada,Store Pickup,Consumer,2,21.45,0.0,42.9,1,-42.9
O100103,2024-01-18,2024-01,C10110,P1019,Travel Mug,Merch,Canada,Store Pickup,Consumer,2,21.25,0.2,42.5,0,34.0
O100104,2024-01-20,2024-01,C10289,P1010,French Press,Equipment,Canada,Store Pickup,Consumer,2,28.84,0.0,57.68,0,57.68
O100105,2024-01-07,2024-01,C10251,P1010,French Press,Equipment,Canada,Store Pickup,Consumer,1,27.5,0.0,27.5,0,27.5
O100106,2024-01-13,2024-01,C10608,P1003,Cold Brew Pack,Coffee,Canada,Store Pickup,Consumer,2,13.52,0.0,27.04,0,27.04
O100107,2024-01-18,2024-01,C10247,P1003,Cold Brew Pack,Coffee,Canada,Store Pickup,Small Business,4,12.32,0.05,49.28,0,46.82
O100108,2024-01-08,2024-01,C10169,P1002,Ceramic Mug,Merch,Canada,Store Pickup,Small Business,2,13.43,0.1,26.86,0,24.17
O100109,2024-01-28,2024-01,C10531,P1001,Burr Grinder,Equipment,Canada,Store Pickup,Consumer,1,77.75,0.0,77.75,1,-77.75
O100110,2024-01-22,2024-01,C10521,P1017,T-Shirt,Merch,Canada,Store Pickup,Consumer,2,23.75,0.1,47.5,1,-42.75
O100111,2024-01-14,2024-01,C10219,P1013,Matcha Tin,Tea,Canada,Store Pickup,Consumer,1,19.22,0.25,19.22,0,14.41
O100112,2024-01-07,2024-01,C10520,P1008,Espresso Blend,Coffee,Canada,Store Pickup,Consumer,4,16.17,0.15,64.68,1,-54.98
O100113,2024-01-05,2024-01,C10437,P1017,T-Shirt,Merch,Canada,Store Pickup,Consumer,2,25.58,0.1,51.16,0,46.04
O100114,2024-01-09,2024-01,C10303,P1019,Travel Mug,Merch,France,Marketplace,Consumer,2,19.29,0.05,38.58,0,36.65
O100115,2024-01-14,2024-01,C10342,P1000,Biscotti Jar,Bakery,France,Marketplace,Consumer,3,8.91,0.2,26.73,0,21.38
O100116,2024-01-22,2024-01,C10343,P1019,Travel Mug,Merch,France,Marketplace,Consumer,1,18.36,0.1,18.36,0,16.52
O100117,2024-01-21,2024-01,C10490,P1006,Croissant Box,Bakery,France,Marketplace,Consumer,4,12.85,0.1,51.4,0,46.26
O100118,2024-01-22,2024-01,C10545,P1015,Muffin Box,Bakery,France,Marketplace,Consumer,1,10.76,0.15,10.76,0,9.15
O100119,2024-01-13,2024-01,C10097,P1001,Burr Grinder,Equipment,France,Marketplace,Consumer,1,66.6,0.1,66.6,0,59.94
O100120,2024-01-04,2024-01,C10554,P1000,Biscotti Jar,Bakery,France,Marketplace,Consumer,2,8.96,0.15,17.92,0,15.23
O100121,2024-01-02,2024-01,C10544,P1002,Ceramic Mug,Merch,France,Marketplace,Consumer,2,12.05,0.05,24.1,0,22.89
O100122,2024-01-17,2024-01,C10319,P1014,Milk Frother,Equipment,France,Marketplace,Small Business,1,20.02,0.0,20.02,0,20.02
O100123,2024-01-25,2024-01,C10358,P1008,Espresso Blend,Coffee,France,Marketplace,Consumer,1,13.48,0.0,13.48,0,13.48
O100124,2024-01-12,2024-01,C10533,P1004,Colombian Beans,Coffee,France,Marketplace,Small Business,2,12.45,0.25,24.9,1,-18.67
O100125,2024-01-30,2024-01,C10313,P1017,T-Shirt,Merch,France,Marketplace,Consumer,1,23.26,0.05,23.26,0,22.1
O100126,2024-01-25,2024-01,C10634,P1011,Green Tea,Tea,France,Marketplace,Consumer,3,10.28,0.15,30.84,0,26.21
O100127,2024-01-22,2024-01,C10490,P1008,Espresso Blend,Coffee,France,Marketplace,Consumer,1,14.72,0.25,14.72,0,11.04
O100128,2024-01-18,2024-01,C10598,P1017,T-Shirt,Merch,France,Marketplace,Consumer,2,23.16,0.25,46.32,0,34.74
O100129,2024-01-12,2024-01,C10538,P1019,Travel Mug,Merch,France,Marketplace,Consumer,1,18.69,0.1,18.69,0,16.82
O100130,2024-01-17,2024-01,C10097,P1019,Travel Mug,Merch,France,Marketplace,Consumer,1,18.95,0.0,18.95,0,18.95
O100131,2024-01-03,2024-01,C10408,P1014,Milk Frother,Equipment,France,Online,Consumer,2,19.62,0.15,39.24,0,33.35
O100132,2024-01-20,2024-01,C10588,P1004,Colombian Beans,Coffee,France,Online,Consumer,1,14.73,0.15,14.73,0,12.52
O100133,2024-01-30,2024-01,C10081,P1008,Espresso Blend,Coffee,France,Online,Consumer,1,14.7,0.0,14.7,0,14.7
O100134,2024-01-04,2024-01,C10342,P1012,Herbal Tea,Tea,France,Online,Consumer,1,7.71,0.0,7.71,0,7.71
O100135,2024-01-27,2024-01,C10533,P1010,French Press,Equipment,France,Online,Small Business,1,21.58,0.0,21.58,0,21.58
O100136,2024-01-04,2024-01,C10634,P1019,Travel Mug,Merch,France,Online,Consumer,2,19.53,0.25,39.06,0,29.3
O100137,2024-01-26,2024-01,C10183,P1015,Muffin Box,Bakery,France,Online,Consumer,2,10.79,0.0,21.58,0,21.58
O100138,2024-01-20,2024-01,C10047,P1006,Croissant Box,Bakery,France,Online,Consumer,4,12.71,0.0,50.84,0,50.84
O100139,2024-01-06,2024-01,C10642,P1003,Cold Brew Pack,Coffee,France,Online,Consumer,1,12.0,0.0,12.0,0,12.0
O100140,2024-01-28,2024-01,C10475,P1018,Tote Bag,Merch,France,Online,Consumer,3,13.82,0.15,41.46,0,35.24
O100141,2024-01-15,2024-01,C10358,P1008,Espresso Blend,Coffee,France,Online,Consumer,1,14.62,0.0,14.62,0,14.62
O100142,2024-01-18,2024-01,C10007,P1001,Burr Grinder,Equipment,France,Online,Small Business,2,60.87,0.15,121.74,0,103.48
O100143,2024-01-13,2024-01,C10358,P1013,Matcha Tin,Tea,France,Online,Consumer,2,15.31,0.1,30.62,0,27.56
O100144,2024-01-21,2024-01,C10538,P1010,French Press,Equipment,France,Online,Consumer,1,21.79,0.0,21.79,0,21.79
O100145,2024-01-10,2024-01,C10505,P1016,Pour Over Kit,Equipment,France,Online,Consumer,1,30.47,0.0,30.47,0,30.47
O100146,2024-01-07,2024-01,C10097,P1013,Matcha Tin,Tea,France,Online,Consumer,1,16.63,0.15,16.63,0,14.14
O100147,2024-01-13,2024-01,C10139,P1004,Colombian Beans,Coffee,France,Online,Consumer,1,12.73,0.0,12.73,1,-12.73
O100148,2024-01-30,2024-01,C10544,P1003,Cold Brew Pack,Coffee,France,Online,Consumer,1,12.55,0.0,12.55,0,12.55
O100149,2024-01-22,2024-01,C10538,P1002,Ceramic Mug,Merch,France,Online,Consumer,2,10.91,0.1,21.82,0,19.64
O100150,2024-01-03,2024-01,C10303,P1007,Earl Grey,Tea,France,Store Pickup,Consumer,4,9.88,0.2,39.52,0,31.62
O100151,2024-01-23,2024-01,C10432,P1004,Colombian Beans,Coffee,France,Store Pickup,Consumer,4,13.35,0.15,53.4,0,45.39
O100152,2024-01-11,2024-01,C10343,P1005,Cookie Pack,Bakery,France,Store Pickup,Consumer,4,7.92,0.05,31.68,0,30.1
O100153,2024-01-29,2024-01,C10183,P1006,Croissant Box,Bakery,France,Store Pickup,Consumer,2,13.24,0.2,26.48,0,21.18
O100154,2024-01-06,2024-01,C10634,P1009,Ethiopian Beans,Coffee,France,Store Pickup,Consumer,1,14.75,0.0,14.75,0,14.75
O100155,2024-01-28,2024-01,C10183,P1005,Cookie Pack,Bakery,France,Store Pickup,Consumer,3,7.54,0.05,22.62,0,21.49
O100156,2024-01-21,2024-01,C10139,P1017,T-Shirt,Merch,France,Store Pickup,Consumer,1,22.53,0.1,22.53,0,20.28
O100157,2024-01-20,2024-01,C10598,P1014,Milk Frother,Equipment,France,Store Pickup,Consumer,1,18.11,0.05,18.11,0,17.2
O100158,2024-01-13,2024-01,C10342,P1015,Muffin Box,Bakery,France,Store Pickup,Consumer,6,10.43,0.05,62.58,0,59.45
O100159,2024-01-06,2024-01,C10111,P1000,Biscotti Jar,Bakery,Germany,Marketplace,Consumer,6,10.07,0.1,60.42,0,54.38
O100160,2024-01-22,2024-01,C10563,P1011,Green Tea,Tea,Germany,Marketplace,Consumer,2,11.85,0.0,23.7,0,23.7
O100161,2024-01-01,2024-01,C10145,P1000,Biscotti Jar,Bakery,Germany,Marketplace,Consumer,1,10.49,0.0,10.49,0,10.49
O100162,2024-01-23,2024-01,C10516,P1000,Biscotti Jar,Bakery,Germany,Marketplace,Consumer,2,10.81,0.15,21.62,0,18.38
O100163,2024-01-09,2024-01,C10413,P1010,French Press,Equipment,Germany,Marketplace,Consumer,1,25.88,0.1,25.88,0,23.29
O100164,2024-01-16,2024-01,C10478,P1007,Earl Grey,Tea,Germany,Marketplace,Consumer,4,10.2,0.1,40.8,0,36.72
O100165,2024-01-12,2024-01,C10324,P1013,Matcha Tin,Tea,Germany,Marketplace,Consumer,1,16.24,0.05,16.24,0,15.43
O100166,2024-01-23,2024-01,C10184,P1019,Travel Mug,Merch,Germany,Marketplace,Small Business,3,19.42,0.0,58.26,0,58.26
O100167,2024-01-10,2024-01,C10018,P1018,Tote Bag,Merch,Germany,Marketplace,Consumer,3,17.81,0.25,53.43,0,40.07
O100168,2024-01-26,2024-01,C10238,P1019,Travel Mug,Merch,Germany,Marketplace,Consumer,1,21.21,0.0,21.21,0,21.21
O100169,2024-01-04,2024-01,C10489,P1000,Biscotti Jar,Bakery,Germany,Marketplace,Consumer,3,9.6,0.2,28.8,0,23.04
O100170,2024-01-26,2024-01,C10018,P1006,Croissant Box,Bakery,Germany,Marketplace,Consumer,2,14.35,0.1,28.7,0,25.83
O100171,2024-01-16,2024-01,C10563,P1019,Travel Mug,Merch,Germany,Marketplace,Consumer,3,20.83,0.0,62.49,0,62.49
O100172,2024-01-28,2024-01,C10350,P1003,Cold Brew Pack,Coffee,Germany,Marketplace,Consumer,3,13.53,0.1,40.59,0,36.53
O100173,2024-01-28,2024-01,C10238,P1009,Ethiopian Beans,Coffee,Germany,Marketplace,Consumer,1,15.18,0.1,15.18,0,13.66
O100174,2024-01-03,2024-01,C10184,P1009,Ethiopian Beans,Coffee,Germany,Marketplace,Small Business,2,17.73,0.05,35.46,0,33.69
O100175,2024-01-12,2024-01,C10284,P1015,Muffin Box,Bakery,Germany,Marketplace,Consumer,6,11.07,0.05,66.42,0,63.1
O100176,2024-01-24,2024-01,C10478,P1017,T-Shirt,Merch,Germany,Marketplace,Consumer,3,23.03,0.1,69.09,0,62.18
O100177,2024-01-31,2024-01,C10502,P1003,Cold Brew Pack,Coffee,Germany,Marketplace,Consumer,2,11.85,0.05,23.7,0,22.51
O100178,2024-01-14,2024-01,C10168,P1017,T-Shirt,Merch,Germany,Marketplace,Consumer,3,25.46,0.05,76.38,0,72.56
O100179,2024-01-31,2024-01,C10478,P1013,Matcha Tin,Tea,Germany,Online,Consumer,4,18.66,0.1,74.64,0,67.18
O100180,2024-01-23,2024-01,C10184,P1001,Burr Grinder,Equipment,Germany,Online,Small Business,1,69.35,0.1,69.35,0,62.42
O100181,2024-01-23,2024-01,C10119,P1009,Ethiopian Beans,Coffee,Germany,Online,Consumer,4,17.44,0.0,69.76,0,69.76
O100182,2024-01-27,2024-01,C10646,P1007,Earl Grey,Tea,Germany,Online,Consumer,1,10.59,0.15,10.59,0,9.0
O100183,2024-01-26,2024-01,C10570,P1010,French Press,Equipment,Germany,Online,Consumer,1,26.17,0.0,26.17,0,26.17
O100184,2024-01-21,2024-01,C10216,P1008,Espresso Blend,Coffee,Germany,Online,Consumer,1,16.95,0.25,16.95,0,12.71
O100185,2024-01-09,2024-01,C10327,P1018,Tote Bag,Merch,Germany,Online,Consumer,2,16.85,0.15,33.7,0,28.65
O100186,2024-01-15,2024-01,C10199,P1015,Muffin Box,Bakery,Germany,Online,Consumer,1,11.46,0.1,11.46,0,10.31
O100187,2024-01-08,2024-01,C10478,P1011,Green Tea,Tea,Germany,Online,Consumer,1,10.8,0.0,10.8,0,10.8
O100188,2024-01-21,2024-01,C10413,P1016,Pour Over Kit,Equipment,Germany,Online,Consumer,1,32.91,0.05,32.91,0,31.26
O100189,2024-01-23,2024-01,C10502,P1009,Ethiopian Beans,Coffee,Germany,Online,Consumer,3,15.62,0.05,46.86,0,44.52
O100190,2024-01-28,2024-01,C10502,P1017,T-Shirt,Merch,Germany,Online,Consumer,3,22.35,0.0,67.05,0,67.05
O100191,2024-01-04,2024-01,C10631,P1001,Burr Grinder,Equipment,Germany,Online,Consumer,1,71.54,0.0,71.54,0,71.54
O100192,2024-01-17,2024-01,C10184,P1011,Green Tea,Tea,Germany,Online,Small Business,2,10.54,0.1,21.08,0,18.97
O100193,2024-01-24,2024-01,C10639,P1019,Travel Mug,Merch,Germany,Online,Consumer,2,18.86,0.05,37.72,0,35.83
O100194,2024-01-27,2024-01,C10499,P1008,Espresso Blend,Coffee,Germany,Online,Consumer,4,16.05,0.0,64.2,0,64.2
O100195,2024-01-25,2024-01,C10000,P1016,Pour Over Kit,Equipment,Germany,Online,Consumer,1,32.52,0.05,32.52,0,30.89
O100196,2024-01-28,2024-01,C10517,P1006,Croissant Box,Bakery,Germany,Online,Consumer,2,14.32,0.0,28.64,0,28.64
O100197,2024-01-01,2024-01,C10413,P1019,Travel Mug,Merch,Germany,Online,Consumer,1,18.76,0.0,18.76,0,18.76
