order_id,order_date,customer_id,segment,channel,country,city,region,category,product_name,quantity,unit_price,discount,shipping_cost,revenue
O100050,2024-03-16,C10616,Consumer,Online,United States,Seattle,North America,Equipment,Burr Grinder,5,79.0,0.0,4.87,395.0
O100051,2024-06-27,C10155,Corporate,Store Pickup,United States,San Jose,North America,Equipment,Milk Frother,1,24.0,0.1,3.49,21.6
O100052,2024-04-26,C10446,Consumer,Online,Germany,Hamburg,Europe,Bakery,Muffin Box,4,13.0,0.0,11.08,52.0
O100055,2024-02-24,C10153,Small Business,Online,United States,Seattle,North America,Equipment,French Press,3,28.0,0.0,5.77,84.0
O100056,2024-02-22,C10047,Consumer,Online,Australia,Brisbane,APAC,Equipment,Milk Frother,2,24.0,0.0,10.54,48.0
O100059,2024-01-26,C10470,Corporate,Online,United States,New York,North America,Bakery,Muffin Box,5,13.0,0.0,9.76,65.0
O100060,2024-02-01,C10109,Consumer,Online,France,Marseille,Europe,Equipment,Pour Over Kit,4,34.0,0.0,8.4,136.0
O100063,2024-01-22,C10510,Consumer,Store Pickup,United Kingdom,Manchester,Europe,Equipment,Burr Grinder,3,79.0,0.0,8.5,237.0
O100064,2024-02-27,C10345,Consumer,Online,United Kingdom,London,Europe,Tea,Matcha Tin,4,19.0,0.05,10.13,72.2
O100066,2024-03-09,C10090,Consumer,Marketplace,United States,San Jose,North America,Merch,Tote Bag,3,18.0,0.0,11.86,54.0
O100069,2024-03-23,C10062,Consumer,Marketplace,Germany,Hamburg,Europe,Merch,Ceramic Mug,1,14.0,0.0,8.38,14.0
O100072,2024-02-21,C10444,Small Business,Store Pickup,United States,Chicago,North America,Equipment,Pour Over Kit,3,34.0,0.0,3.61,102.0
O100075,2024-05-21,C10555,Consumer,Online,United States,Chicago,North America,Merch,Travel Mug,4,22.0,0.05,2.79,83.6
O100078,2024-01-11,C10159,Small Business,Online,Australia,Sydney,APAC,Bakery,Biscotti Jar,1,10.92,0.0,10.51,10.92
O100079,2024-04-24,C10356,Small Business,Online,Australia,Brisbane,APAC,Bakery,Biscotti Jar,4,11.5,0.0,3.75,46.0
O100080,2024-01-08,C10002,Consumer,Online,United States,Chicago,North America,Bakery,Croissant Box,1,15.0,0.15,8.62,12.75
O100081,2024-01-27,C10290,Consumer,Marketplace,Germany,Hamburg,Europe,Coffee,Colombian Beans,1,16.5,0.0,10.34,16.5
O100084,2024-01-22,C10084,Consumer,Online,United States,Chicago,North America,Equipment,Burr Grinder,4,$79.0,0.0,7.58,316.0
O100087,2024-02-27,C10391,Consumer,Online,United States,San Jose,North America,Tea,Herbal Tea,3,10.0,0.0,6.59,30.0
O100089,2024-05-23,C10160,Consumer,Marketplace, CANADA ,Toronto,North America,Equipment,French Press,2,28.0,0.0,8.98,56.0
O100090,2024-05-25,C10174,Consumer,Online,Canada,Vancouver,North America,Bakery,Muffin Box,2,13.0,0.05,11.71,24.7
O100091,2024-02-27,C10475,Consumer,Online,France,Paris,Europe,Equipment,French Press,1,26.6,0.0,5.31,26.6
O100093,2024-06-30,C10049,Corporate,Online,United States,New York,North America,Merch,Tote Bag,5,18.0,0.0,3.7,90.0
O100095,2024-01-31,C10462,Consumer,Online,United States,New York,North America,Bakery,Croissant Box,4,15.0,0.0,4.59,60.0
O100097,2024-03-19,C10026,Small Business,Online,Australia,Brisbane,APAC,Equipment,French Press,5,29.4,0.0,6.43,147.0
O100098,2024-01-16,C10009,Consumer,Online,United States,Austin,North America,Coffee,Ethiopian Beans,5,17.1,0.0,7.4,85.5
O100099,2024-06-02,C10605,Consumer,Online,France,Paris,Europe,Bakery,Muffin Box,4,13.0,0.0,6.17,52.0
O100100,2024-01-20,C10336,Consumer,Online,Germany,Munich,Europe,Merch,Ceramic Mug,3,14.7,0.05,5.91,41.9
O100102,2024-04-18,C10092,Consumer,Online,Australia,Melbourne,APAC,Bakery,Cookie Pack,1,9.0,0.0,11.77,9.0
O100104,2024-06-24,C10185,Small Business,Store Pickup,United States,San Jose,North America,Bakery,Muffin Box,4,13.65,0.0,10.11,54.6
O100107,2024-05-13,C10533,Consumer,Store Pickup,France,Marseille,Europe,Coffee,Espresso Blend,4,17.5,0.0,12.2,70.0
O100109,2024-05-24,C10048,Consumer,Store Pickup,United States,New York,North America,Coffee,,1,16.5,0.15,7.15,14.02
O100111,05/09/2024,C10495,Small Business,online,United Kingdom, ,Europe,Bakery,Cookie Pack,5,9.0,0.0,2.99,45.0
O100113,2024-05-03,C10170,Consumer,Online,France,Marseille,Europe,Bakery,Cookie Pack,5,8.55,0.0,11.08,42.75
O100114,2024-03-13,C10291,Consumer,Online,Canada,Toronto,North America,Merch,Tote Bag,4,18.0,0.0,11.03,72.0
O100115,2024-01-25,C10347,Consumer,Online,France,Paris,Europe,Coffee,Espresso Blend,1,17.5,0.05,12.49,16.62
O100117,2024-02-06,C10228,Consumer,Online,Australia,Melbourne,APAC,Bakery,Muffin Box,3,13.0,0.0,3.84,39.0
O100119,2024-02-12,C10251,Corporate,Online,Canada,Toronto,North America,Bakery,Biscotti Jar,2,11.5,0.0,7.91,23.0
O100120,2024-06-08,C10225,Consumer,Online,Australia,Sydney,APAC,Equipment,Milk Frother,4,24.0,0.0,4.91,96.0
O100122,2024-05-23,C10173,Corporate,Marketplace,United Kingdom,London,Europe,Bakery,Muffin Box,4,13.0,0.15,9.25,44.2
O100123,2024-01-08,C10190,Consumer,Store Pickup,United Kingdom,London,Europe,Coffee,Colombian Beans,4,17.32,0.0,2.86,69.3
O100126,2024-02-07,C10292,Small Business,Online,United States,Seattle,North America,Equipment,Pour Over Kit,3,34.0,0.0,6.35,102.0
O100128,03/19/2024,C10266,Consumer,Online,Canada,Toronto,North America,Tea,Green Tea,1,12.0,0.0,7.58,12.0
O100130,2024-01-09,C10313,Corporate,Online,France,Marseille,Europe,Coffee,Ethiopian Beans,2,18.0,0.0,4.78,36.0
O100132,2024-04-22,C10459,Consumer,Online,Germany,Munich,Europe,Coffee,Espresso Blend,1,17.5,0.0,4.38,17.5
O100133,2024-02-16,C10189,Small Business,Marketplace,United Kingdom,London,Europe,Equipment,Burr Grinder,5,75.05,0.0,4.13,375.25
O100135,2024-03-16,C10335,Consumer,Online,Canada,Montreal,North America,Equipment,Milk Frother,5,24.0,0.0,10.49,120.0
O100136,2024-06-10,C10080,Consumer,Marketplace,United States,Seattle,North America,Coffee,Espresso Blend,2,16.62,0.0,9.58,33.25
O100138,2024-04-16,C10375,Corporate,Online,United States,Austin,North America,Coffee,Espresso Blend,4,17.5,0.15,2.54,59.5
O100139,2024-06-01,C10634,Small Business,Online,France,Paris,Europe,Merch,Ceramic Mug,3,14.0,0.0,8.45,42.0
O100140,2024-04-13,C10496,Small Business,Marketplace,United Kingdom,London,Europe,Coffee,Cold Brew Pack,5,14.0,0.0,6.46,70.0
O100141,2024-03-12,C10427,Corporate,Online,Australia,Brisbane,APAC,Tea,Matcha Tin,3,18.05,0.0,6.58,54.15
O100143,2024-06-08,C10418,Small Business,Online,United States,New York,North America,Merch,Ceramic Mug,1,14.0,0.1,4.62,12.6
O100144,2024-01-19,C10326,Small Business,Store Pickup,United Kingdom,Manchester,Europe,Bakery,Muffin Box,4,13.0,0.0,11.54,52.0
O100146,2024-04-15,C10371,Consumer,Online,Germany,Berlin,Europe,Coffee,Ethiopian Beans,5,18.0,0.05,6.45,85.5
O100147,2024-03-02,C10030,Small Business,Online,United Kingdom,Manchester,Europe,Merch,Tote Bag,3,18.0,0.0,3.81,54.0
O100148,2024-02-17,C10295,Consumer,Online,United States,Chicago,North America,Coffee,Colombian Beans,4,16.5,0.0,4.36,66.0
O100149,2024-06-13,C10502,Small Business,Marketplace,Canada,Toronto,North America,Merch,Travel Mug,4,22.0,0.0,5.45,88.0
O100151,2024-04-08,C10261,Consumer,Store Pickup,Australia,Brisbane,APAC,Merch,Tote Bag,1,18.0,0.0,3.47,18.0
O100152,2024-05-20,C10019,Small Business,Online,United States,San Jose,North America,Coffee,Ethiopian Beans,5,18.0,0.0,,90.0
O100155,2024-02-14,C10120,Consumer,Online,Australia,Sydney,APAC,Coffee,Ethiopian Beans,5,18.0,0.05,4.29,85.5
O100156,2024-05-21,C10002,Corporate,Store Pickup,France,Marseille,Europe,Merch,Tote Bag,2,18.0,0.0,4.11,36.0
O100158,2024-01-30,C10095,Corporate,Online,Canada,Vancouver,North America,Equipment,Pour Over Kit,3,34.0,0.0,12.02,102.0
O100160,2024-04-06,C10343,Consumer,Online,United States,Austin,North America,cOFFEE,Cold Brew Pack,1,14.0,0.0,8.58,14.0
O100162,2024-05-24,C10037,Consumer,Online,Australia,Sydney,APAC,Bakery,Biscotti Jar,4,11.5,0.1,5.91,41.4
O100164,2024-01-12,C10570,Consumer,Store Pickup, GERMANY ,Munich,Europe,Bakery,Biscotti Jar,2,12.08,0.0,2.52,24.15
O100165,2024-04-19,C10427,Small Business,Online,United States,Austin,North America,cOFFEE,Cold Brew Pack,4,14.0,0.0,9.76,56.0
O100167,2024-06-29,C10180,Small Business,Store Pickup,Australia,Melbourne,APAC,Tea,Herbal Tea,1,10.0,0.0,7.0,10.0
O100168,2024-06-14,C10471,Consumer,Marketplace,United Kingdom,,Europe,Tea,Earl Grey,5,11.0,0.0,8.12,55.0
O100171,2024-01-04,C10198,Small Business,Marketplace,United Kingdom,Manchester,Europe,Tea,Herbal Tea,3,10.0,0.0,9.17,30.0
O100174,2024-05-02,C10182,Consumer,Online,United States,Seattle,North America,Bakery,Biscotti Jar,5,11.5,0.0,5.25,57.5
O100176,2024-03-13,C10337,Corporate,Online,United States,Chicago,North America,Equipment,Burr Grinder,4,82.95,0.0,8.75,331.8
O100178,2024-03-30,C10458,Consumer,Online,United States, ,North America,Tea,Herbal Tea,5,10.0,0.1,11.04,45.0
O100180,2024-03-28,C10068,Small Business,Marketplace, UNITED STATES ,New York,North America,Coffee,Colombian Beans,5,17.32,0.15,9.95,73.63
O100182,2024-01-31,C10371,Small Business,Marketplace,United States,Austin,North America,Bakery,Muffin Box,2,13.0,0.0,4.69,26.0
O100183,2024-01-29,C10614,Consumer,Store Pickup,United States,,North America,Bakery,Croissant Box,5,15.0,0.0,6.4,75.0
O100186,2024-01-21,C10294,Small Business,Store Pickup,United Kingdom,Manchester,Europe,Merch,Ceramic Mug,5,13.3,0.0,5.21,66.5
O100189,2024-01-18,C10068,Consumer,Store Pickup, UNITED STATES ,Chicago,North America,Tea,Herbal Tea,3,10.0,0.0,12.42,30.0
O100192,2024-05-29,C10588,Small Business,Marketplace,Australia,Brisbane,APAC,Tea,Earl Grey,3,11.0,0.0,6.03,33.0
O100193,2024-04-07,C10200,Consumer,Online,United States,Austin,North America,Bakery,Muffin Box,5,13.0,0.0,11.29,65.0
O100194,2024-06-05,C10042,Consumer,Online,United States,San Jose,North America,Coffee,Ethiopian Beans,3,18.0,0.0,10.73,54.0
O100195,2024-03-25,C10464,Small Business,Online,United Kingdom,Birmingham,Europe,Bakery,Croissant Box,1,15.0,0.0,10.02,15.0
O100198,2024-06-29,C10454,Consumer,Store Pickup,United States,Seattle,North America,Coffee,Espresso Blend,4,17.5,0.0,4.25,70.0
O100199,2024-02-22,C10615,Small Business,Online,United Kingdom,London,Europe,Equipment,Milk Frother,2,24.0,0.05,4.42,45.6
O100200,2024/03/17,C10187,Consumer,Online,United Kingdom,Birmingham,Europe,Equipment,Pour Over Kit,5,34.0,0.0,,170.0
O100201,2024-01-01,C10235,Consumer,Marketplace,France,Marseille,Europe,Equipment,French Press,2,28.0,0.0,8.14,56.0
O100203,2024-04-16,C10308,Consumer,Online,France,Paris,Europe,Bakery,Biscotti Jar,1,$11.5,0.0,11.86,11.5
O100204,2024-03-06,C10223,Consumer,Store Pickup,United Kingdom,London,Europe,Coffee,Cold Brew Pack,1,14.0,0.0,3.85,14.0
O100206,2024-04-22,C10298,Consumer,Online,United States,San Jose,North America,Coffee,Cold Brew Pack,4,14.0,0.1,3.5,50.4
O100209,2024-04-14,C10056,Corporate,Online,France,Paris,Europe,Bakery,Croissant Box,5,15.0,0.0,6.51,75.0
O100210,2024-02-28,C10425,Consumer,Online,United States,Chicago,North America,Merch,Ceramic Mug,3,14.0,0.0,6.48,42.0
O100213,2024-03-12,C10474,Corporate,Store Pickup,United States,San Jose,North America,Merch,Travel Mug,3,22.0,0.0,8.83,66.0
O100215,2024-01-31,C10198,Consumer,Online,Canada, ,North America,Equipment,Pour Over Kit,3,34.0,0.0,5.96,102.0
O100217,2024-01-10,C10645,Small Business,Online,Canada,Montreal,North America,Coffee,Cold Brew Pack,3,14.0,0.05,11.78,39.9
O100218,2024-06-04,C10098,Small Business,Online,Canada,Montreal,North America,Merch,T-Shirt,3,24.7,0.0,8.13,74.1
O100219,2024-05-21,C10282,Consumer,Online,Canada,Vancouver,North America,Coffee,Espresso Blend,4,17.5,0.0,8.15,70.0
O100221,2024-05-27,C10253,Consumer,Online,United Kingdom,Manchester,Europe,Merch,Travel Mug,5,22.0,0.0,11.28,110.0
O100224,2024-02-21,C10044,Small Business,Marketplace,United Kingdom,Manchester,Europe,Merch,Tote Bag,4,18.0,0.0,3.68,72.0
O100226,2024-01-08,C10088,Consumer,Online,France,Paris,Europe,Coffee,Cold Brew Pack,3,14.0,0.0,9.18,42.0
O100227,2024-06-26,C10269,Small Business,Online,United Kingdom,Manchester,Europe,Coffee,Colombian Beans,1,16.5,0.0,11.97,16.5
O100228,2024-01-08,C10429,Corporate,Store Pickup,United Kingdom,London,Europe,Merch,T-Shirt,4,26.0,0.0,7.85,104.0
O100229,2024-04-07,C10469,Consumer,Store Pickup,United States,New York,North America,Merch,Ceramic Mug,1,14.7,0.0,3.1,14.7
O100232,2024-01-18,C10129,Corporate,Online,United Kingdom,Birmingham,Europe,Tea,Matcha Tin,3,18.05,0.0,4.39,54.15
O100233,2024-06-12,C10627,Consumer,Online,Germany,Hamburg,Europe,Merch,Travel Mug,5,22.0,0.0,10.46,110.0
O100234,2024-03-22,C10470,Small Business,Online,Germany,Hamburg,Europe,Equipment,Pour Over Kit,3,34.0,0.0,3.4,102.0
O100236,2024-02-13,C10026,Corporate,Store Pickup,United Kingdom,Birmingham,Europe,Coffee,Colombian Beans,1,16.5,0.0,7.66,16.5
O100238,2024-04-22,C10560,Small Business,Online,United States,San Jose,North America,Coffee,Ethiopian Beans,1,18.0,0.0,8.76,18.0
O100240,2024-02-03,C10274,Consumer,Marketplace,Australia,Brisbane,APAC,Tea,Green Tea,1,12.0,0.1,6.28,10.8
O100242,2024-03-31,C10382,Consumer,Online,United Kingdom,London,Europe,Bakery,Croissant Box,3,$15.0,0.0,11.87,45.0
O100244,2024-04-26,C10467,Consumer,,United Kingdom,Manchester,Europe,Tea,Earl Grey,5,11.0,0.0,3.17,55.0
O100245,2024-04-26,C10296,Consumer,Marketplace,Australia,Sydney,APAC,Equipment,Pour Over Kit,5,34.0,0.05,8.98,161.5
O100247,2024-05-14,C10029,Consumer,Marketplace,United Kingdom,Birmingham,Europe,Tea,Earl Grey,4,11.0,0.0,6.75,44.0
O100250,2024-06-23,C10064,Consumer,Online,United States,Austin,North America,Bakery,Cookie Pack,1,9.0,0.0,11.45,9.0
O100252,2024-01-27,C10521,Consumer,Online,United States,San Jose,North America,Tea,Earl Grey,3,11.0,0.0,4.25,33.0
O100254,2024-03-22,C10133,Small Business,Marketplace,United States,Seattle,North America,Coffee,Espresso Blend,3,17.5,0.0,10.32,52.5
O100255,2024-01-24,C10237,Consumer,Online,United States,Chicago,North America,Tea,Green Tea,1,12.0,0.0,10.02,12.0
O100257,2024-04-21,C10306,Corporate,Store Pickup,United States,Austin,North America,Tea,Matcha Tin,2,19.0,0.0,8.93,38.0
O100260,2024-04-26,C10310,Consumer,Online,Australia,Brisbane,APAC,Bakery,Cookie Pack,-2,8.55,0.0,6.57,-17.1
O100262,2024-05-29,C10646,Consumer,Online,United States,New York,North America,Bakery,Croissant Box,4,15.0,0.05,5.64,57.0
O100265,2024-01-01,C10110,Small Business,Online,Australia,Melbourne,APAC,Equipment,Pour Over Kit,2,34.0,0.0,11.99,68.0
O100268,2024-03-03,C10593,Consumer,Online,United States,New York,North America,Bakery,Croissant Box,5,15.0,0.0,10.64,75.0
O100270,2024-04-14,C10504,Consumer,Online,United States,San Jose,North America,Tea,Earl Grey,4,11.0,0.0,10.85,44.0
O100271,2024-02-01,C10526,Consumer,Online,Australia,Brisbane,APAC,Coffee,Ethiopian Beans,4,18.0,0.0,9.97,72.0
O100274,2024-06-29,C10448,Consumer,Store Pickup,Canada,Vancouver,North America,Merch,Ceramic Mug,4,14.0,0%,6.53,56.0
O100275,2024-04-25,C10120,Small Business,Store Pickup,Germany,Hamburg,Europe,Equipment,French Press,1,28.0,0.0,10.46,28.0
O100277,2024-05-23,C10261,Consumer,Online,United States,San Jose,North America,Coffee,Colombian Beans,3,17.32,0.05,6.49,49.38
O100280,2024-04-07,C10551,,,Germany,Berlin,Europe,Merch,Travel Mug,2,22.0,0.0,,44.0
O100281,2024-04-23,C10286,Small Business,Store Pickup,United States,San Jose,North America,Merch,T-Shirt,5,26.0,0.0,9.95,130.0
O100284,2024-02-22,C10378,Small Business,Online,United States,Chicago,North America,Equipment,French Press,3,28.0,0.0,11.63,84.0
O100287,2024-01-13,C10469,Consumer,Marketplace,United Kingdom,Birmingham,Europe,Bakery,Croissant Box,1,15.75,0.15,6.02,13.39
O100289,2024-02-07,C10512,Small Business,Online,United States,Austin,North America,Merch,Ceramic Mug,3,14.0,0.15,11.34,35.7
O100292,2024-05-28,C10143,Consumer,Online,United Kingdom,London,Europe,Merch,Tote Bag,3,17.1,0.0,7.46,51.3
O100294,2024-04-09,C10487,,,United States,Chicago,North America,Merch,Ceramic Mug,2,13.3,0.05,9.96,25.27
O100296,2024-01-23,C10623,Consumer,Online,Germany,Hamburg,Europe,Coffee,Ethiopian Beans,2,$17.1,0.0,9.94,34.2
O100297,2024-05-30,C10227,Corporate,Store Pickup,United Kingdom,,Europe,Merch,Travel Mug,1,22.0,0.0,12.22,22.0
O100300,2024-01-16,C10046,Consumer,Store Pickup,United States,Seattle,North America,Coffee,Ethiopian Beans,2,18.0,0.0,3.83,36.0
O100301,2024-05-22,C10463,,Online,United Kingdom,Manchester,Europe,Bakery,Biscotti Jar,5,11.5,0.0,7.18,57.5
O100304,2024-03-23,C10445,Consumer,Online,United States,New York,North America,Merch,Travel Mug,5,22.0,0.0,10.15,110.0
O100307,2024-04-22,C10360,Small Business,Online,Australia,Sydney,APAC,Equipment,Pour Over Kit,2,34.0,0.0,8.74,68.0
O100309,2024-03-25,C10056,Small Business,Online,Germany,Munich,Europe,Equipment,French Press,3,28.0,0.0,9.93,84.0
O100311,2024-03-15,C10603,Consumer,Marketplace,Germany,Hamburg,Europe,Equipment,Pour Over Kit,4,34.0,0.0,8.52,136.0
O100313,2024-04-27,C10625,Consumer,Online,Canada,Vancouver,North America,Equipment,Milk Frother,5,24.0,0.0,4.67,120.0
O100315,2024-02-26,C10100,Consumer,Online,Germany,Munich,Europe,Coffee,Espresso Blend,5,17.5,0.0,8.77,87.5
O100316,2024-05-04,C10491,Consumer,Online,Germany,Berlin,Europe,Merch,Travel Mug,1,22.0,0.15,4.74,18.7
O100317,2024-02-10,C10415,Small Business,Online,United Kingdom,Birmingham,Europe,Merch,T-Shirt,2,26.0,0.1,4.54,46.8
O100319,2024-04-14,C10518,Consumer,Online,Canada,Toronto,North America,Merch,T-Shirt,3,27.3,0.0,7.97,81.9
O100321,2024-06-28,C10082,Small Business,Online,Canada,Montreal,North America,Tea,Herbal Tea,3,10.0,0.05,6.96,28.5
O100322,2024-01-19,C10178,Small Business,Online,United States,Chicago,North America,Coffee,Colombian Beans,5,16.5,0.0,8.32,82.5
O100323,2024-05-04,C10521,Consumer,Store Pickup,United Kingdom,London,Europe,Equipment,Pour Over Kit,3,32.3,0.0,4.29,96.9
O100324,2024-05-13,C10619,Consumer,Online,United States,Chicago,North America,Bakery,Muffin Box,5,13.0,0.0,7.27,65.0
O100326,2024-06-06,C10418,Consumer,Marketplace,United States,Austin,North America,Coffee,Espresso Blend,3,17.5,0.0,10.61,52.5
O100329,2024-04-20,C10295,Consumer,Store Pickup,United Kingdom,Birmingham,Europe,Coffee,Ethiopian Beans,3,18.0,0.0,10.74,54.0
O100332,2024-01-13,C10495,Consumer,Online,United States,Seattle,North America,Merch,T-Shirt,5,24.7,0.1,12.21,111.15
O100334,2024-05-11,C10099,Consumer,Store Pickup,United Kingdom,Birmingham,Europe,Tea,Herbal Tea,3,10.0,0.0,9.8,30.0
O100337,2024-06-21,C10113,Consumer,Marketplace,United States,Chicago,North America,Bakery,Biscotti Jar,5,11.5,0.0,11.93,57.5
O100340,2024-05-02,C10602,Consumer,Online,United States,San Jose,North America,Coffee,Cold Brew Pack,3,14.0,0.0,12.37,42.0
O100343,2024-05-25,C10185,Consumer,Store Pickup,United States,Seattle,North America,Equipment,French Press,1,28.0,0.05,7.7,26.6
O100345,2024/02/08,C10092,Consumer,Online,United Kingdom,London,Europe,Merch,Travel Mug,2,22.0,0.0,2.97,44.0
O100347,2024-03-02,C10399,Consumer,Online,Canada,Vancouver,North America,Coffee,Espresso Blend,4,16.62,0.0,3.59,66.5
O100350,2024-05-22,C10063,Consumer,Online,Canada,Montreal,North America,Tea,Matcha Tin,-2,19.0,0.0,5.95,-38.0
O100353,2024-03-21,C10238,Consumer,Store Pickup,United States,Chicago,North America,Equipment,French Press,4,28.0,0.0,11.79,112.0
O100354,2024-03-27,C10189,Corporate,Online,United States,Austin,North America,Tea,Green Tea,5,11.4,0.05,5.74,54.15
O100357,2024-02-17,C10633,,Online,United States,San Jose,North America,Merch,T-Shirt,2,26.0,0.0,11.8,52.0
O100359,2024-01-06,C10129,Consumer,Online,France,Lyon,Europe,Equipment,French Press,2,28.0,0.0,,56.0
O100360,2024-03-06,C10424,Consumer,Marketplace,United States,Seattle,North America,Bakery,Cookie Pack,1,9.0,0.0,5.99,9.0
O100361,2024-01-24,C10223,Small Business,Online,United Kingdom,Birmingham,Europe,Coffee,Ethiopian Beans,5,18.0,0.0,3.74,90.0
O100363,2024-02-02,C10508,Consumer,Online,Australia,Brisbane,APAC,Equipment,French Press,4,28.0,0.0,4.13,112.0
O100366,2024-02-05,C10177,Consumer,Online,United States,New York,North America,Merch,Tote Bag,2,17.1,0.0,5.24,34.2
O100369,2024-04-01,C10029,Corporate,Store Pickup,Canada,Vancouver,North America,Tea,Earl Grey,2,10.45,0.0,10.07,20.9
O100371,2024-06-18,C10044,,Marketplace,United States,Austin,North America,Bakery,Croissant Box,4,15.0,0.0,10.17,60.0
O100374,2024-01-18,C10226,,Online,Australia,Sydney,APAC,Bakery,Croissant Box,1,15.0,0.0,10.49,15.0
O100377,2024-03-18,C10595,Corporate,Online,Canada,Toronto,North America,Coffee,Espresso Blend,3,17.5,0.0,11.29,52.5
O100380,2024-02-16,C10627,Small Business,Online,United Kingdom,London,Europe,Tea,Earl Grey,2,11.0,0.0,8.16,22.0
O100383,2024/06/18,C10107,Consumer,Online,Germany,Hamburg,Europe,Merch,Tote Bag,5,18.0,0.0,10.68,90.0
O100385,2024-01-22,C10246,,,United Kingdom,London,Europe,Bakery,Cookie Pack,1,9.0,0.0,,9.0
O100386,2024-03-23,C10496,Corporate,Online,France,Marseille,Europe,Coffee,Colombian Beans,2,16.5,0.0,4.06,33.0
O100387,2024-03-16,C10479,Consumer,Online,Canada,Montreal,North America,Merch,T-Shirt,1,26.0,0.1,5.65,23.4
O100390,2024-06-21,C10519,Consumer,Marketplace,France,Paris,Europe,Coffee,Colombian Beans,4,15.67,0.0,,62.7
O100391,2024-03-11,C10431,Consumer,Online,France,Marseille,Europe,Coffee,Cold Brew Pack,2,14.0,0.0,3.11,28.0
O100392,2024-04-05,C10194,Corporate,Online,United States,San Jose,North America,Bakery,Cookie Pack,2,9.0,0.0,6.29,18.0
O100393,2024-05-16,C10457,Consumer,Online,Germany,Hamburg,Europe,Coffee,Espresso Blend,3,17.5,0.0,3.43,52.5
O100394,2024-02-09,C10460,Consumer,Online,Germany,Munich,Europe,Merch,Tote Bag,4,18.0,0.05,11.19,68.4
O100395,2024-02-06,C10054,Small Business,Store Pickup,United Kingdom,Birmingham,Europe,Tea,Green Tea,1,12.0,0.0,3.44,12.0
