order_id,order_date,region,state,segment,category,sub_category,ship_mode,quantity,discount,sales,profit,customer_id
ORD-2024-00054,2024-08-29,East,New York,Consumer,Office Supplies,Appliances,Standard Class,7,0.09,319.24,34.85,C10911
ORD-2024-00055,2024-12-11,South,Texas,Consumer,Office Supplies,Storage,Standard Class,1,0.03,35.22,14.08,C10017
ORD-2025-00056,2025-07-18,South,Georgia,Consumer,Technology,Copiers,Second Class,8,0.19,2509.53,202.67,C11679
ORD-2024-00057,2024-12-05,West,California,Consumer,Technology,Machines,Standard Class,5,0.11,1593.56,255.69,C11053
ORD-2024-00058,2024-04-01,South,North Carolina,Consumer,Technology,Accessories,Standard Class,1,0.07,34.51,-7.31,C10375
ORD-2025-00059,2025-01-01,West,California,Consumer,Office Supplies,Binders,Standard Class,3,0.18,87.3,5.78,C11643
ORD-2025-00060,2025-03-30,South,Georgia,Home Office,Office Supplies,Binders,Standard Class,2,0.25,31.84,0.98,C10907
ORD-2025-00061,2025-03-03,East,New York,Corporate,Technology,Machines,Standard Class,7,0.15,2752.49,350.74,C10013
ORD-2025-00062,2025-05-23,West,Oregon,Corporate,Office Supplies,Appliances,Second Class,3,0.19,361.35,16.66,C10615
ORD-2024-00063,2024-02-04,East,Massachusetts,Consumer,Office Supplies,Paper,Standard Class,7,0.26,78.38,-6.62,C11124
ORD-2024-00064,2024-07-24,Central,Michigan,Corporate,Office Supplies,Storage,Same Day,5,0.3,163.27,-23.12,C10221
ORD-2024-00065,2024-03-21,East,Massachusetts,Consumer,Office Supplies,Paper,Standard Class,2,0.05,26.08,24.34,C10212
ORD-2025-00066,2025-07-15,West,Washington,Corporate,Office Supplies,Storage,Standard Class,7,0.03,369.42,67.76,C10254
ORD-2025-00067,2025-01-22,Central,Ohio,Consumer,Furniture,Bookcases,First Class,5,0.09,1037.87,52.1,C10645
ORD-2024-00068,2024-01-02,South,North Carolina,Consumer,Furniture,Tables,Second Class,7,0.08,1757.93,141.16,C10524
ORD-2025-00069,2025-01-24,East,New York,Consumer,Furniture,Furnishings,Second Class,4,0.08,161.65,1.33,C11715
ORD-2025-00070,2025-07-19,West,Arizona,Home Office,Furniture,Furnishings,Same Day,6,0.19,540.93,-51.28,C10499
ORD-2024-00071,2024-04-15,East,Pennsylvania,Consumer,Technology,Accessories,Standard Class,1,0.18,27.42,-4.32,C10493
ORD-2025-00072,2025-04-21,West,Oregon,Corporate,Office Supplies,Storage,First Class,4,0.04,297.78,26.03,C11404
ORD-2025-00073,2025-12-03,South,Texas,Consumer,Office Supplies,Storage,Standard Class,3,0.2,148.12,2.95,C11243
ORD-2025-00074,2025-02-05,South,North Carolina,Corporate,Office Supplies,Storage,First Class,8,0.21,309.76,-11.2,C10080
ORD-2025-00075,2025-12-30,Central,Michigan,Home Office,Furniture,Bookcases,Standard Class,4,0.18,614.04,7.03,C11228
ORD-2025-00076,2025-07-09,East,New Jersey,Consumer,Furniture,Tables,Standard Class,1,0.06,208.64,4.65,C11514
ORD-2024-00077,2024-06-10,South,Georgia,Consumer,Furniture,Chairs,Second Class,2,0.09,296.24,19.05,C10224
ORD-2024-00078,2024-07-20,Central,Michigan,Home Office,Technology,Machines,Standard Class,6,0.13,1463.56,201.11,C11636
ORD-2024-00079,2024-09-26,South,North Carolina,Corporate,Furniture,Furnishings,Standard Class,5,0.08,301.51,34.82,C10836
ORD-2024-00080,2024-09-27,Central,Illinois,Consumer,Technology,Phones,Standard Class,7,0.16,1517.8,157.22,C11787
ORD-2025-00081,2025-03-31,South,Georgia,Corporate,Technology,Copiers,Second Class,8,0.23,3348.8,137.63,C10480
ORD-2025-00082,2025-04-06,Central,Illinois,Corporate,Office Supplies,Binders,First Class,2,0.13,34.47,-21.74,C11121
ORD-2025-00083,2025-12-27,East,New Jersey,Consumer,Technology,Phones,Second Class,6,0.1,964.91,138.27,C10909
ORD-2024-00084,2024-09-08,South,Florida,Corporate,Office Supplies,Binders,First Class,4,0.17,82.19,-22.06,C11778
ORD-2025-00085,2025-12-02,Central,Minnesota,Consumer,Furniture,Furnishings,Standard Class,3,0.23,173.03,-3.44,C11150
ORD-2024-00086,2024-10-22,Central,Minnesota,Consumer,Office Supplies,Appliances,Standard Class,4,0.39,153.07,-17.05,C11236
ORD-2025-00087,2025-12-25,West,California,Corporate,Technology,Phones,Standard Class,1,0.08,248.54,20.02,C11229
ORD-2025-00088,2025-12-20,Central,Michigan,Consumer,Furniture,Chairs,Standard Class,1,0.14,109.9,17.54,C10602
ORD-2024-00089,2024-12-03,Central,Illinois,Consumer,Furniture,Chairs,Standard Class,3,0.12,408.82,27.78,C10422
ORD-2024-00090,2024-02-22,West,Washington,Corporate,Office Supplies,Storage,Standard Class,6,0.11,360.85,46.59,C10741
ORD-2024-00091,2024-08-04,West,Oregon,Home Office,Furniture,Bookcases,Standard Class,2,0.06,192.64,0.2,C10431
ORD-2024-00092,2024-07-06,Central,Michigan,Home Office,Technology,Copiers,Second Class,7,0.08,3319.95,562.1,C10759
ORD-2025-00093,2025-01-14,Central,Ohio,Home Office,Office Supplies,Appliances,Standard Class,7,0.07,616.14,111.58,C10795
ORD-2025-00094,2025-05-07,Central,Illinois,Home Office,Furniture,Tables,First Class,1,0.26,158.96,-40.78,C11344
ORD-2024-00095,2024-02-10,West,Washington,Consumer,Technology,Phones,Second Class,1,0.02,165.57,40.25,C10780
ORD-2024-00096,2024-06-05,Central,Michigan,Consumer,Furniture,Chairs,Second Class,3,0.21,318.12,-20.4,C11655
ORD-2024-00097,2024-01-15,West,Washington,Corporate,Office Supplies,Paper,Same Day,2,0.31,17.42,-23.84,C10341
ORD-2024-00098,2024-03-05,East,Pennsylvania,Consumer,Technology,Phones,Standard Class,8,0.09,1539.49,252.11,C11708
ORD-2025-00099,2025-06-04,West,Oregon,Corporate,Furniture,Bookcases,Second Class,8,0.07,873.43,68.88,C11026
ORD-2024-00100,2024-12-09,West,Washington,Corporate,Technology,Copiers,First Class,4,0.27,1538.42,45.87,C10750
ORD-2024-00101,2024-05-08,West,Washington,Consumer,Furniture,Tables,Standard Class,5,0.11,1516.25,94.77,C11329
ORD-2025-00102,2025-10-09,East,New Jersey,Home Office,Office Supplies,Storage,First Class,3,0.22,80.89,-19.34,C10640
ORD-2025-00103,2025-04-16,West,Washington,Consumer,Furniture,Tables,Standard Class,2,0.14,511.38,-20.66,C11378
ORD-2024-00104,2024-03-03,East,New York,Consumer,Furniture,Bookcases,Second Class,5,0.27,427.05,-76.1,C10051
ORD-2024-00105,2024-05-18,East,Pennsylvania,Home Office,Technology,Phones,Standard Class,7,0.12,1047.45,142.59,C10165
ORD-2025-00106,2025-05-13,East,New Jersey,Consumer,Technology,Machines,Same Day,3,0.19,520.78,5.63,C11271
ORD-2025-00107,2025-08-15,East,New Jersey,Consumer,Technology,Copiers,First Class,4,0.09,1191.33,184.35,C10521
ORD-2025-00108,2025-01-26,South,North Carolina,Consumer,Furniture,Tables,First Class,4,0.23,785.13,-59.33,C10087
ORD-2025-00109,2025-11-05,West,Oregon,Corporate,Furniture,Furnishings,Second Class,2,0.37,97.31,-16.09,C10757
ORD-2025-00110,2025-02-22,East,Pennsylvania,Corporate,Office Supplies,Binders,Standard Class,2,0.15,54.89,3.89,C11262
ORD-2024-00111,2024-10-15,West,Washington,Corporate,Technology,Machines,Standard Class,4,0.05,816.64,159.81,C10307
ORD-2025-00112,2025-01-13,West,Oregon,Corporate,Furniture,Tables,First Class,4,0.1,787.32,35.46,C10263
ORD-2025-00113,2025-05-04,Central,Ohio,Consumer,Furniture,Chairs,Standard Class,3,0.35,319.28,-63.32,C10569
ORD-2024-00114,2024-08-18,Central,Ohio,Home Office,Furniture,Chairs,Standard Class,6,0.16,699.76,33.68,C10688
ORD-2024-00115,2024-02-10,South,Texas,Home Office,Office Supplies,Storage,Standard Class,7,0.11,426.23,45.62,C11411
ORD-2024-00116,2024-01-28,Central,Michigan,Consumer,Technology,Machines,Standard Class,6,0.14,1096.9,121.6,C10289
ORD-2024-00117,2024-05-14,South,Texas,Consumer,Technology,Copiers,Second Class,2,0.18,539.73,37.6,C10415
ORD-2024-00118,2024-07-19,West,Arizona,Home Office,Office Supplies,Binders,Standard Class,5,0.28,121.47,-9.36,C11003
ORD-2024-00119,2024-02-02,West,Washington,Home Office,Furniture,Bookcases,Second Class,4,0.1,319.28,22.21,C10249
ORD-2024-00120,2024-02-17,West,Oregon,Home Office,Technology,Copiers,First Class,5,0.21,1372.13,70.31,C11268
ORD-2025-00121,2025-05-17,West,Oregon,Home Office,Technology,Accessories,Standard Class,2,0.09,56.97,-7.06,C10741
ORD-2025-00122,2025-02-10,Central,Michigan,Corporate,Technology,Copiers,Standard Class,7,0.09,2869.14,488.64,C11417
ORD-2025-00123,2025-07-27,Central,Michigan,Corporate,Office Supplies,Binders,Standard Class,2,0.1,60.53,8.45,C10930
ORD-2025-00124,2025-12-28,West,Washington,Corporate,Technology,Copiers,Same Day,1,0.18,291.84,37.1,C10935
ORD-2024-00125,2024-04-08,South,Georgia,Consumer,Furniture,Chairs,Standard Class,4,0.15,790.34,42.18,C10460
ORD-2025-00126,2025-11-14,South,Georgia,Corporate,Furniture,Chairs,Standard Class,7,0.06,741.08,65.88,C10955
ORD-2025-00127,2025-12-26,East,Pennsylvania,Consumer,Furniture,Tables,Second Class,6,0.08,1510.36,145.16,C11741
ORD-2025-00128,2025-06-30,West,California,Corporate,Office Supplies,Binders,Standard Class,6,0.03,201.41,38.09,C11399
ORD-2025-00129,2025-09-04,West,Oregon,Consumer,Technology,Phones,Same Day,8,0.1,1997.97,321.03,C10355
ORD-2025-00130,2025-04-06,West,California,Consumer,Office Supplies,Paper,First Class,2,0.19,11.85,-14.96,C10898
ORD-2025-00131,2025-10-04,West,California,Consumer,Furniture,Chairs,Standard Class,2,0.02,616.44,110.88,C11138
ORD-2024-00132,2024-01-05,East,New Jersey,Consumer,Office Supplies,Paper,Second Class,4,0.09,55.39,3.86,C11661
ORD-2024-00133,2024-08-05,West,Arizona,Consumer,Furniture,Furnishings,Standard Class,1,0.32,48.76,-6.57,C10506
ORD-2025-00134,2025-05-17,East,Pennsylvania,Consumer,Furniture,Furnishings,Second Class,1,0.09,59.38,-13.18,C10706
ORD-2025-00135,2025-02-01,South,North Carolina,Home Office,Office Supplies,Appliances,Second Class,1,0.01,164.48,16.83,C10770
ORD-2025-00136,2025-01-27,Central,Minnesota,Consumer,Office Supplies,Binders,Standard Class,1,0.11,34.11,-15.54,C11343
ORD-2024-00137,2024-07-25,South,Florida,Consumer,Technology,Copiers,Standard Class,7,0.06,5473.42,1038.7,C11199
ORD-2024-00138,2024-01-15,West,Washington,Corporate,Technology,Accessories,First Class,3,0.05,108.81,14.13,C10378
ORD-2025-00139,2025-07-07,East,Pennsylvania,Corporate,Furniture,Furnishings,Standard Class,4,0.16,293.05,9.05,C11789
ORD-2025-00140,2025-04-05,Central,Ohio,Consumer,Office Supplies,Paper,Second Class,4,0.04,45.7,-18.4,C11204
ORD-2025-00141,2025-11-21,West,Arizona,Corporate,Furniture,Furnishings,Standard Class,4,0.27,174.25,-7.14,C11415
ORD-2025-00142,2025-07-28,West,Oregon,Corporate,Office Supplies,Appliances,Standard Class,7,0.13,685.06,63.92,C10174
ORD-2024-00143,2024-08-28,Central,Michigan,Consumer,Office Supplies,Binders,First Class,6,0.17,151.25,-11.71,C11596
ORD-2025-00144,2025-07-17,Central,Michigan,Consumer,Office Supplies,Paper,Standard Class,7,0.14,101.68,14.41,C11651
ORD-2024-00145,2024-04-05,East,Massachusetts,Home Office,Furniture,Chairs,Second Class,1,0.04,137.36,,C10538
ORD-2025-00146,2025-04-29,East,New Jersey,Corporate,Furniture,Tables,Standard Class,1,0.13,326.84,-7.72,C10328
ORD-2025-00147,2025-02-10,East,Massachusetts,Corporate,Office Supplies,Paper,Standard Class,6,0.07,117.17,-0.47,C11043
ORD-2024-00148,2024-08-18,West,Oregon,Consumer,Office Supplies,Storage,Same Day,8,0.06,437.84,49.14,C10867
ORD-2025-00149,2025-10-16,East,Pennsylvania,Consumer,Office Supplies,Appliances,Standard Class,7,0.12,638.3,102.79,C11417
ORD-2024-00150,2024-06-19,West,Washington,Corporate,Furniture,Chairs,First Class,6,0.16,810.61,18.66,C11563
ORD-2025-00151,2025-06-24,West,Arizona,Consumer,Office Supplies,Storage,First Class,2,0.05,130.47,15.25,C10179
ORD-2024-00152,2024-02-05,South,Georgia,Consumer,Technology,Accessories,Same Day,3,0.13,124.12,-8.48,C10129
ORD-2025-00153,2025-06-08,Central,Illinois,Corporate,Technology,Machines,First Class,6,0.06,1433.32,265.94,C10677
ORD-2024-00154,2024-06-08,Central,Illinois,Consumer,Office Supplies,Binders,Standard Class,4,0.21,93.91,-15.88,C10640
ORD-2025-00155,2025-11-29,East,New Jersey,Corporate,Furniture,Bookcases,Same Day,3,0.29,335.47,-69.53,C10938
ORD-2024-00156,2024-08-30,East,New Jersey,Home Office,Office Supplies,Paper,Standard Class,7,0.09,80.97,-5.92,C11209
ORD-2024-00157,2024-03-26,West,Washington,Consumer,Technology,Copiers,Standard Class,6,0.14,3021.2,405.73,C10703
ORD-2025-00158,2025-07-31,West,California,Home Office,Furniture,Tables,Standard Class,8,0.21,2149.51,-17.81,C11410
ORD-2025-00159,2025-11-12,West,Washington,Consumer,Furniture,Tables,Standard Class,4,0.11,803.39,22.51,C10068
ORD-2025-00160,2025-07-10,South,Texas,Home Office,Furniture,Furnishings,Second Class,1,0.17,38.4,-3.18,C10117
ORD-2025-00161,2025-07-27,Central,Ohio,Consumer,Technology,Phones,Standard Class,7,0.04,1786.87,372.89,C11031
ORD-2025-00162,2025-10-07,Central,Illinois,Consumer,Office Supplies,Appliances,Standard Class,1,0.02,144.59,20.0,C11011
ORD-2024-00163,2024-01-28,East,Massachusetts,Corporate,Office Supplies,Binders,Standard Class,4,0.43,67.42,-12.97,C10911
ORD-2025-00164,2025-09-11,South,North Carolina,Consumer,Technology,Phones,Standard Class,8,0.09,1790.13,311.63,C10587
ORD-2025-00165,2025-07-09,West,California,Home Office,Technology,Accessories,Second Class,5,0.07,105.59,13.28,C10467
ORD-2024-00166,2024-12-05,East,Pennsylvania,Consumer,Office Supplies,Storage,Standard Class,7,0.07,319.83,41.71,C10653
ORD-2024-00167,2024-11-26,East,Massachusetts,Consumer,Office Supplies,Binders,Standard Class,1,0.09,23.38,-5.45,C11243
ORD-2025-00168,2025-10-01,South,Georgia,Consumer,Office Supplies,Binders,Standard Class,8,0.03,180.49,7.74,C10381
ORD-2025-00169,2025-05-20,South,Florida,Consumer,Office Supplies,Binders,Standard Class,8,0.1,229.63,25.46,C11066
ORD-2024-00170,2024-12-13,West,Arizona,Consumer,Furniture,Chairs,Second Class,2,0.1,302.95,14.7,C10553
ORD-2025-00171,2025-04-17,South,Florida,Corporate,Furniture,Tables,Standard Class,6,0.11,1473.12,60.79,C10813
ORD-2024-00172,2024-08-18,South,Florida,Corporate,Technology,Machines,Standard Class,1,0.23,246.93,13.49,C11198
ORD-2024-00173,2024-07-08,West,Oregon,Home Office,Technology,Copiers,Standard Class,2,0.22,1233.64,106.22,C11646
ORD-2024-00174,2024-08-12,East,Massachusetts,Home Office,Office Supplies,Paper,Standard Class,8,0.12,98.12,-2.94,C11367
ORD-2025-00175,2025-01-19,East,New Jersey,Consumer,Technology,Accessories,Same Day,3,0.08,69.06,-35.52,C10257
ORD-2025-00176,2025-01-11,South,Florida,Corporate,Office Supplies,Paper,Standard Class,7,0.03,71.36,-6.1,C10613
ORD-2024-00177,2024-10-09,West,Arizona,Consumer,Office Supplies,Binders,First Class,1,0.26,22.24,-14.34,C10232
ORD-2025-00178,2025-09-24,South,North Carolina,Corporate,Office Supplies,Storage,Second Class,6,0.03,149.51,-4.64,C10837
ORD-2025-00179,2025-09-19,East,Massachusetts,Consumer,Office Supplies,Paper,Standard Class,1,0.07,12.96,-5.54,C11056
ORD-2024-00180,2024-09-15,Central,Minnesota,Home Office,Furniture,Tables,Same Day,6,0.25,1004.79,-120.43,C11476
ORD-2024-00181,2024-12-24,East,New York,Corporate,Office Supplies,Paper,Second Class,3,0.1,38.38,-4.93,C11195
ORD-2025-00182,2025-12-10,Central,Michigan,Home Office,Technology,Phones,Second Class,6,0.04,1263.06,261.5,C11111
ORD-2025-00183,2025-03-31,South,Florida,Home Office,Technology,Phones,Standard Class,2,0.2,399.82,7.9,C11435
ORD-2025-00184,2025-02-14,South,Georgia,Home Office,Office Supplies,Paper,Standard Class,5,0.39,50.77,-9.36,C11455
ORD-2025-00185,2025-10-10,South,North Carolina,Corporate,Technology,Phones,Standard Class,7,0.12,1858.22,255.18,C11248
ORD-2024-00186,2024-11-13,West,Oregon,Consumer,Office Supplies,Storage,Standard Class,6,0.17,260.28,12.16,C11648
ORD-2025-00187,2025-11-07,Central,Illinois,Consumer,Office Supplies,Binders,First Class,7,0.1,147.49,-13.92,C11465
ORD-2024-00188,2024-08-12,West,Oregon,Consumer,Office Supplies,Paper,First Class,6,0.21,97.77,-26.89,C10913
ORD-2024-00189,2024-08-21,East,New York,Consumer,Technology,Copiers,Standard Class,7,0.11,1873.42,294.34,C10088
ORD-2025-00190,2025-11-14,Central,Michigan,Corporate,Office Supplies,Binders,First Class,2,0.43,40.32,-38.14,C11700
ORD-2025-00191,2025-10-25,East,New York,Consumer,Technology,Accessories,Second Class,8,0.0,296.33,44.36,C10284
ORD-2025-00192,2025-01-08,East,New York,Corporate,Office Supplies,Appliances,Standard Class,7,0.16,634.12,56.49,C10179
ORD-2025-00193,2025-11-02,South,Georgia,Home Office,Technology,Machines,Standard Class,4,0.01,1362.03,312.14,C11340
ORD-2025-00194,2025-08-30,West,Oregon,Home Office,Office Supplies,Storage,Standard Class,4,0.06,205.96,39.48,C10883
ORD-2025-00195,2025-04-16,Central,Ohio,Consumer,Technology,Copiers,Second Class,4,0.1,1792.55,273.9,C11356
ORD-2024-00196,2024-08-20,East,New York,Consumer,Technology,Copiers,First Class,6,0.12,1829.99,257.2,C10692
ORD-2025-00197,2025-11-22,West,Oregon,Consumer,Furniture,Chairs,,3,0.1,365.99,31.57,C10624
ORD-2024-00198,2024-04-22,West,Washington,Consumer,Technology,Copiers,Standard Class,2,0.21,1175.45,87.55,C10076
ORD-2025-00199,2025-05-11,South,Georgia,Corporate,Office Supplies,Binders,Second Class,6,0.06,175.95,1.04,C11171
ORD-2025-00200,2025-03-17,South,North Carolina,Corporate,Technology,Accessories,First Class,7,0.07,296.56,21.88,C10834
ORD-2025-00201,2025-07-17,South,Texas,Corporate,Furniture,Chairs,Standard Class,1,0.11,130.36,-23.1,C11381
ORD-2024-00202,2024-09-24,South,Florida,Home Office,Furniture,Chairs,Standard Class,6,0.27,698.65,-75.82,C10938
ORD-2025-00203,2025-05-24,West,Oregon,Corporate,Technology,Accessories,First Class,4,0.04,155.89,0.1,C11126
ORD-2025-00204,2025-01-20,East,Massachusetts,Consumer,Furniture,Furnishings,Standard Class,2,0.46,97.93,-44.48,C10397
ORD-2025-00205,2025-01-21,Central,Michigan,Corporate,Office Supplies,Binders,Standard Class,1,0.08,24.09,3.07,C11568
ORD-2024-00206,2024-04-22,East,Pennsylvania,Consumer,Technology,Phones,First Class,8,0.1,1799.15,298.48,C10336
ORD-2025-00207,2025-09-04,East,New York,Consumer,Technology,Accessories,Standard Class,2,0.13,76.36,5.94,C10465
ORD-2025-00208,2025-09-16,East,New Jersey,Consumer,Furniture,Bookcases,First Class,3,0.13,439.79,-14.48,C11386
ORD-2024-00209,2024-03-21,Central,Minnesota,Consumer,Furniture,Tables,Standard Class,4,0.36,622.43,-136.23,C11035
ORD-2025-00210,2025-11-29,Central,Ohio,Consumer,Furniture,Furnishings,Standard Class,5,0.26,316.58,-21.96,C10556
ORD-2024-00211,2024-04-22,West,Oregon,Consumer,Furniture,Bookcases,Standard Class,6,0.07,561.14,55.23,C11305
ORD-2024-00212,2024-01-02,East,Pennsylvania,Corporate,Office Supplies,Appliances,Standard Class,7,0.13,424.7,17.97,C10716
ORD-2025-00213,2025-10-03,Central,Ohio,Corporate,Technology,Phones,Standard Class,4,0.13,807.21,90.92,C11636
ORD-2024-00214,2024-08-07,Central,Ohio,Consumer,Furniture,Furnishings,Second Class,4,0.07,288.52,2.46,C10824
ORD-2025-00215,2025-07-19,West,Washington,Consumer,Furniture,Furnishings,Standard Class,3,0.08,158.64,25.28,C10125
ORD-2024-00216,2024-08-12,Central,Ohio,Home Office,Office Supplies,Paper,Same Day,1,0.04,13.64,-25.42,C10643
ORD-2025-00217,2025-01-19,West,California,Consumer,Office Supplies,Storage,Standard Class,4,0.14,165.89,6.1,C10184
ORD-2025-00218,2025-02-06,East,New York,Home Office,Furniture,Chairs,Standard Class,1,0.08,121.21,7.28,C11328
